OfferTermCode,PricePerUnit,instanceType,instanceFamily,LeaseContractLength,PurchaseOption,OfferingClass,Location,vCPU,Memory,Tenancy,operatingSystem,year,networkPerformance,EffectiveDate,DiskType,StorageSize
Z2E3P23VKM,5.06793,g5.24xlarge,GPU instance,3,No Upfront,convertible,EU,96,384,Shared,RHEL_HA,2022,50.0,2022-04-01,NVMe SSD,3800
38NPMPTW36,1.683,g4dn.16xlarge,GPU instance,3,Partial Upfront,standard,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
4NA7Y494T4,4.332,g4dn.16xlarge,GPU instance,1,No Upfront,standard,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
7NE97W5U4E,4.907,g4dn.16xlarge,GPU instance,1,No Upfront,convertible,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
BPH4J8HBKS,3.455,g4dn.16xlarge,GPU instance,3,No Upfront,standard,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
CUZHX8X6JH,2.414,g4dn.16xlarge,GPU instance,1,Partial Upfront,convertible,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
HU7G6KETJZ,2.14,g4dn.16xlarge,GPU instance,1,Partial Upfront,standard,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
R5XV2EPZQZ,1.957,g4dn.16xlarge,GPU instance,3,Partial Upfront,convertible,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
Z2E3P23VKM,4.047,g4dn.16xlarge,GPU instance,3,No Upfront,convertible,AsiaPacific,64,26,Dedicated,Linux,2019,50.0,2019-10-01,NVMe SSD,900
38NPMPTW36,0.25775,g5.xlarge,GPU instance,3,Partial Upfront,standard,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
4NA7Y494T4,0.76421,g5.xlarge,GPU instance,1,No Upfront,standard,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
7NE97W5U4E,0.93226,g5.xlarge,GPU instance,1,No Upfront,convertible,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
BPH4J8HBKS,0.54964,g5.xlarge,GPU instance,3,No Upfront,standard,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
CUZHX8X6JH,0.44613,g5.xlarge,GPU instance,1,Partial Upfront,convertible,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
HU7G6KETJZ,0.3661,g5.xlarge,GPU instance,1,Partial Upfront,standard,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
R5XV2EPZQZ,0.3111,g5.xlarge,GPU instance,3,Partial Upfront,convertible,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
Z2E3P23VKM,0.66488,g5.xlarge,GPU instance,3,No Upfront,convertible,EU,4,16,Shared,RHEL_HA,2022,10.0,2022-10-01,NVMe SSD,250
38NPMPTW36,10.721262,p4d.24xlarge,GPU instance,3,Partial Upfront,standard,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
4NA7Y494T4,31.2139755,p4d.24xlarge,GPU instance,1,No Upfront,standard,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
7NE97W5U4E,37.4567705,p4d.24xlarge,GPU instance,1,No Upfront,convertible,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
BPH4J8HBKS,23.157926,p4d.24xlarge,GPU instance,3,No Upfront,standard,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
CUZHX8X6JH,17.8365574,p4d.24xlarge,GPU instance,1,Partial Upfront,convertible,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
HU7G6KETJZ,14.8637979,p4d.24xlarge,GPU instance,1,Partial Upfront,standard,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
R5XV2EPZQZ,12.8655144,p4d.24xlarge,GPU instance,3,Partial Upfront,convertible,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
Z2E3P23VKM,27.7895111,p4d.24xlarge,GPU instance,3,No Upfront,convertible,AsiaPacific,96,112,Dedicated,Linux,2021,400.0,2021-03-01,SSD,8000
38NPMPTW36,0.242,g4dn.xlarge,GPU instance,3,Partial Upfront,standard,MiddleEast,4,16,Dedicated,Windows,2019,25.0,2019-10-01,NVMe SSD,125
4NA7Y494T4,0.666,g4dn.xlarge,GPU instance,1,No Upfront,standard,MiddleEast,4,16,Dedicated,Windows,2019,25.0,2019-10-01,NVMe SSD,125
